Altium Designer Pick and Place Locations
C:\Application\hardware\pca10095\trunk\production_files\400432_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       17.09.19
Time:       08:52
Revision:   17128
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C40","10nF","TopLayer","CAPC0603X03L_C","35.9918","16.5608","360","Capacitor, X7R, ±10%"
"C39","100nF","TopLayer","CAPC0603X03L_C","43.6118","34.7218","180","Capacitor, X5R, ±10%"
"C38","100nF","TopLayer","CAPC0603X03L_C","46.4566","34.9150","180","Capacitor, X5R, ±10%"
"C37","100nF","TopLayer","CAPC0603X03L_C","34.5186","24.9074","270","Capacitor, X5R, ±10%"
"C36","100nF","TopLayer","CAPC0603X03L_C","34.5186","20.9196","270","Capacitor, X5R, ±10%"
"C35","100nF","TopLayer","CAPC0603X03L_C","42.6720","15.5856","90","Capacitor, X5R, ±10%"
"C34","100nF","TopLayer","CAPC0603X03L_C","49.4030","16.3830","180","Capacitor, X5R, ±10%"
"C33","100nF","TopLayer","CAPC0603X03L_C","52.7812","25.8218","90","Capacitor, X5R, ±10%"
"C32","100nF","TopLayer","CAPC0603X03L_C","34.5186","29.9112","270","Capacitor, X5R, ±10%"
"C31","4.7µF","TopLayer","CAPC1005X04L","39.3954","34.9912","180","CAP CER 4.7UF 10V X5R 0402"
"C30","100nF","TopLayer","CAPC0603X03L_C","48.5902","37.7444","90","Capacitor, X5R, ±10%"
"C27","1.2pF","TopLayer","CAPC1005X04L","129.6670","39.2176","90","Capacitor, NP0, ±0.1pF"
"J1","MM8130-2600","TopLayer","COAXIAL-SWF","127.4234","38.3912","90","Coaxial Connector with Switch"
"C1","100nF","TopLayer","CAPC0603X03L_C","118.0966","41.6888","0","Capacitor, X5R, ±10%"
"C6","2.2µF","TopLayer","CAPC1608X06L","110.0776","37.0638","90","Capacitor, X7R, ±10%"
"C9","820pF","TopLayer","CAPC0603X03L_C","120.8776","34.7888","180","Capacitor, X7R, ±10%"
"C10","100pF","TopLayer","CAPC0603X03L_C","121.2776","40.0388","90","Capacitor, NP0, ±2%"
"C11","1.0µF","TopLayer","CAPC1005X04L","115.2776","42.4938","360","Capacitor, X5R, ±5%"
"C12","0.7pF","TopLayer","CAPC0603X03L_C","120.3776","38.6888","270","Capacitor, NP0, ±0.05pF"
"C13","100nF","TopLayer","CAPC0603X03L_C","111.0776","40.4888","90","Capacitor, X5R, ±10%"
"C14","100nF","TopLayer","CAPC0603X03L_C","109.9576","35.3068","180","Capacitor, X5R, ±10%"
"C15","N.C.","TopLayer","CAPC0603X03L_C","111.0526","32.2888","180","Not mounted"
"C16","100nF","TopLayer","CAPC0603X03L_C","112.1276","32.3138","270","Capacitor, X5R, ±10%"
"C17","N.C.","TopLayer","CAPC0603X03L_C","113.3776","32.3138","270","Not mounted"
"C18","N.C.","TopLayer","CAPC0603X03L_C","114.6276","32.3138","270","Not mounted"
"C19","100nF","TopLayer","CAPC0603X03L_C","115.8776","32.3138","270","Capacitor, X5R, ±10%"
"C20","N.C.","TopLayer","CAPC0603X03L_C","117.4276","32.3138","270","Not mounted"
"C21","100nF","TopLayer","CAPC0603X03L_C","119.2276","32.3138","270","Capacitor, X5R, ±10%"
"C22","N.C.","TopLayer","CAPC0603X03L_C","120.8786","34.1884","360","Not mounted"
"C23","100nF","TopLayer","CAPC0603X03L_C","120.8786","37.2618","360","Capacitor, X5R, ±10%"
"C24","100nF","TopLayer","CAPC0603X03L_C","120.7276","40.0388","270","Capacitor, X5R, ±10%"
"C26","4.7µF","TopLayer","CAPC1608X06L","110.4776","39.2888","180","Capacitor, X7S, ±10%"
"R1","4R7","TopLayer","RESC0603X03L_C","107.4674","42.7736","360","Resistor, ±1%, 0.05W"
"X1","32MHz","TopLayer","BT-XTAL_2016","123.2026","40.9638","90","XTAL SMD 2016, 32MHz, Cl=8pF, ±40ppm, -40°C ~ 105°C"
"X2","32.768kHz","TopLayer","XTAL_2012","107.3404","39.8272","270","XTAL SMD 2012, 32.768kHz, Cl=9pF, Total Tol: ±50ppm"
"U21","74LVC1G11","TopLayer","SOT65P210X100-6N","21.6662","10.4140","270","Single 3-input AND gate"
"R72","1M0","TopLayer","RESC0603X03L_C","22.6314","12.8524","360","Resistor, ±1%, 0.05W"
"R71","100k","TopLayer","RESC0603X03L_C","19.4310","14.7066","270","Resistor, ±1%, 0.05W"
"Q10","PMCPB5530","TopLayer","PMCPB5530X","22.9512","14.3562","270","Mosfet Array N and P-Channel 20V 4A (Ta), 3.4A (Ta) 490mW Surface Mount 6-HUSON-EP (2x2)"
"C71","100nF","TopLayer","CAPC0603X03L_C","21.9456","8.4074","180","Capacitor, X5R, ±10%"
"R24","0R","TopLayer","RESC0603X03L_C","71.8820","42.5450","270","Resistor, ±5%, 0.05W"
"R20","0R","TopLayer","RESC0603X03L_C","72.4408","42.5450","270","Resistor, ±5%, 0.05W"
"C28","N.C.","TopLayer","CAPC0603X03L_C","71.8820","41.4528","90","Not mounted"
"C29","N.C.","TopLayer","CAPC0603X03L_C","72.4408","41.4528","90","Not mounted"
"R49","4k7","TopLayer","RESC0603X03L_C","74.4474","16.5100","90","Resistor, ±1%, 0.05W"
"R48","4k7","TopLayer","RESC0603X03L_C","73.8886","19.9898","270","Resistor, ±1%, 0.05W"
"U22","SC728CSTRT","TopLayer","BGA4C40P2X2_76X76X62","27.4828","30.3530","270","Semtech, 2A Low Vin, Very Low Ron, Load Switch, 4DSBGA"
"U15","TCK106AF","TopLayer","SOT95P280X140-5N","50.2666","41.1480","180","1.0 A Load Switch IC with Slew Rate Control Driver in Small Package"
"U20","TCK106AF","TopLayer","SOT95P280X140-5N","80.6196","8.4582","270","1.0 A Load Switch IC with Slew Rate Control Driver in Small Package"
"C66","1.0µF","TopLayer","CAPC1005X04L","47.0662","40.3606","270","Capacitor, X5R, ±5%"
"C67","1.0µF","TopLayer","CAPC1608X06L","81.5594","4.7752","90","Capacitor, X7R, ±10%"
"C50","100nF","TopLayer","CAPC0603X03L_C","6.9596","39.5224","360","Capacitor, X5R, ±10%"
"C48","100nF","TopLayer","CAPC0603X03L_C","115.7478","55.9562","270","Capacitor, X5R, ±10%"
"LED4","L0603G","TopLayer","LED_0603_G","129.6372","53.5617","360","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"LED3","L0603G","TopLayer","LED_0603_G","124.5572","53.5617","360","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"LED2","L0603G","TopLayer","LED_0603_G","129.6372","57.0161","360","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"LED1","L0603G","TopLayer","LED_0603_G","124.5572","57.0161","360","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"P28","Pin List 1x3","TopLayer","LIST_1x3-NC","30.4800","25.4000","90","Pin List 1x3, 2.54mm (100mil)"
"P26","Socket 1x12","BottomLayer","LIST_1x12_SMD-NC","32.7660","45.7200","360","Socket 1x12, 2.54mm (100mil), SMD"
"D5","NSR0620P2T5G","TopLayer","SODFL100X40-2N","26.0604","29.7656","90","20V schottky barrier diode, Vf 350 mV @ 100 mA, Ir 2.0 µA @ 10 V, If 500 mA"
"D3","NSR0620P2T5G","TopLayer","SODFL100X40-2N","24.4348","29.7656","90","20V schottky barrier diode, Vf 350 mV @ 100 mA, Ir 2.0 µA @ 10 V, If 500 mA"
"Q7","FCX690BTA","TopLayer","SOT89-150P409X160-3N","24.5640","21.3360","360","45V NPN high gain power transistor"
"U11","XC9236","TopLayer","USP-6C","20.7264","20.2434","360","600mA Driver Transistor Built-In, Synchronous Step-Down DC/DC Converters"
"U4","SC728CSTRT","TopLayer","BGA4C40P2X2_76X76X62","118.9990","51.8922","180","Semtech, 2A Low Vin, Very Low Ron, Load Switch, 4DSBGA"
"R63","120k","TopLayer","RESC0603X03L_C","20.2946","18.0848","180","Resistor, ±1%, 0.05W"
"R60","330k","TopLayer","RESC0603X03L_C","19.0500","18.0848","180","Resistor, ±1%, 0.05W"
"R67","N.C.","TopLayer","RESC1005X04L","16.3320","51.1302","90","Not mounted"
"Q8","TSM250N02DCQ RFG","TopLayer","DFN65P200X200X80_HS-6N","13.9192","12.6238","360","Dual N Ch MOFET, 5.8A, 55mOhm max, 620mW"
"P23","Pin List 1x2, Angled","TopLayer","LIST_ANG_1x2-SMD-2.54MM","9.7520","51.2000","270","Pin List 1x2, 2.54mm (100mil), Right Angled, SMD"
"L6","4.7µH","TopLayer","TY-NR3015","17.3990","20.2692","270","Ferrite Inductor, Shielded, 1,04A, 144mOhm"
"D7","NSR0620P2T5G","TopLayer","SODFL100X40-2N","25.2476","29.7656","90","20V schottky barrier diode, Vf 350 mV @ 100 mA, Ir 2.0 µA @ 10 V, If 500 mA"
"D6","NSR0620P2T5G","TopLayer","SODFL100X40-2N","23.6220","29.7656","90","20V schottky barrier diode, Vf 350 mV @ 100 mA, Ir 2.0 µA @ 10 V, If 500 mA"
"C61","4.7µF","TopLayer","CAPC1005X04L","21.1074","22.7838","360","CAP CER 4.7UF 10V X5R 0402"
"C63","10µF","TopLayer","CAPC1608X06L","16.8148","17.9578","360","Capacitor, 0603, 25V, X5R"
"C62","150pF","TopLayer","CAPC0603X03L_C","19.0754","17.5260","180","Chip Cap 0201"
"U24","74LVC1G08","TopLayer","SOT65P210X100-5N","24.5110","10.4140","90","Single 2-Input AND Gate"
"R74","1M0","TopLayer","RESC0603X03L_C","11.7602","11.4808","90","Resistor, ±1%, 0.05W"
"Q9","RV2C010UNT2L","TopLayer","DFN65P100X40-3L","29.8196","19.9390","360","N-Channel MOSFET, 20V, 1A, 470mOhm, 400mW"
"J6","HDR-2, 1mm","TopLayer","SM02B-SRSS-TB","3.1679","12.7762","270","1.0mm pitch connector side entry SMD"
"P27","Pin List 1x2","TopLayer","LIST_1x2-NC","8.1788","12.6746","270","Pin List 1x2, 2.54mm (100mil)"
"C53","10µF","TopLayer","CAPC1608X06L","9.9722","29.0576","180","Capacitor, 0603, 25V, X5R"
"R57","1M0","TopLayer","RESC0603X03L_C","64.5160","27.6606","270","Resistor, ±1%, 0.05W"
"P18","Pin Header 2x5, 1.27mm","TopLayer","HDR_2x5-SMD-1.27mm-K","96.4438","59.1058","0","Pin Header 2x5, 1.27mm (50mil), SMD, Keying Shroud"
"C44","300pF","TopLayer","CAPC1005X04L","103.5557","17.8748","180","Capacitor, NP0, ±5%"
"C43","300pF","TopLayer","CAPC1005X04L","101.5237","17.8748","180","Capacitor, NP0, ±5%"
"P20","Pin List 1x13","TopLayer","LIST_1x13_SMD","34.0360","45.7200","0","Pin List 1x13, 2.54mm (100mil), SMD"
"R50","47k","TopLayer","RESC0603X03L_C","92.9640","3.7338","90","Resistor, ±1%, 0.05W"
"Fid1","Fiducial mark","TopLayer","Fiducial","129.4708","59.9440","180","Fiducial Mark"
"Fid2","Fiducial mark","TopLayer","Fiducial","13.7428","2.8448","0","Fiducial Mark"
"R6","100k","TopLayer","RESC0603X03L_C","57.2008","38.9382","270","Resistor, ±1%, 0.05W"
"J2","MicroUSB-B","TopLayer","USB-Micro-B-RA-SMD-PiP","4.8944","31.7500","360","MicroUSB-B-SMT"
"C54","100nF","TopLayer","CAPC0603X03L_C","9.5912","30.0736","180","Capacitor, X5R, ±10%"
"D2","PRTR5V0U2X","TopLayer","SOT190P230X110-4L","8.8800","32.0802","270","Ultra low capacitance double rail-to-rail ESD protection diode"
"C56","100nF","TopLayer","CAPC0603X03L_C","3.4504","26.1874","180","Capacitor, X5R, ±10%"
"P5","Pin Hdr 2x3","TopLayer","HDR_2x3-SMD","64.8970","33.0200","270","Pin Header 2x3, 2.54mm (100mil) SMD"
"P2","Socket 1x6","TopLayer","SOCKET_1x6_SMD","57.1500","7.6200","360","Socket 1x6, 2.54mm (100mil), SMD"
"P1","Socket 1x8","TopLayer","SOCKET_1x8_SMD","36.8300","7.6200","360","Socket 1x8, 2.54mm (100mil), SMD"
"P4","Socket 1x10","TopLayer","SOCKET_1x10_SMD","30.2260","55.8800","180","Socket 1x10, 2.54mm (100mil), SMD"
"P3","Socket 1x8","TopLayer","SOCKET_1x8_SMD","54.6100","55.8800","180","Socket 1x8, 2.54mm (100mil), SMD"
"P7","Pin List 1x8","BottomLayer","LIST_1x8_SMD-NC","36.8300","7.6200","0","Pin List 1x8, 2.54mm (100mil), SMD"
"P9","Pin List 1x8","BottomLayer","LIST_1x8_SMD-NC","54.6100","55.8800","180","Pin List 1x8, 2.54mm (100mil), SMD"
"P10","Pin List 1x10","BottomLayer","LIST_1x10_SMD-NC","30.2260","55.8800","180","Pin List 1x10, 2.54mm (100mil), SMD"
"P8","Pin List 1x6","BottomLayer","LIST_1x6_SMD-NC","57.1500","7.6200","360","Pin List 1x6, 2.54mm (100mil), SMD"
"P11","Socket 2x3","TopLayer","SOCKET_2x3_SMD-2.54mm-bottom-NC","64.8970","33.0200","270","Socket 2x3, 2.54mm (100mil), SMD"
"SW8","MKH-22D14-G2-B","TopLayer","MKH-22D14-G2-B","5.5276","5.3594","360","Slide Switch DPDT"
"P19","Pin Header 2x5, 1.27mm","TopLayer","HDR_2x5-SMD-1.27mm-K","3.8860","58.7756","90","Pin Header 2x5, 1.27mm (50mil), SMD, Keying Shroud"
"P21","Pin List 1x2, Angled","TopLayer","LIST_ANG_1x2-SMD-2.54MM","9.7520","19.2786","270","Pin List 1x2, 2.54mm (100mil), Right Angled, SMD"
"P13","Pin Header 2x8","TopLayer","HDR_2x8-NC","36.8300","2.5400","360","Pin Header 2x8, 2.54mm (100mil)"
"P14","Pin Header 2x6","TopLayer","HDR_2x6-NC","57.1500","2.5400","360","Pin Header 2x6, 2.54mm (100mil)"
"P15","Pin Header 2x8","TopLayer","HDR_2x8-NC","54.6100","60.9600","180","Pin Header 2x8, 2.54mm (100mil)"
"P16","Pin Header 2x10","TopLayer","HDR_2x10-NC","30.2260","60.9600","180","Pin Header 2x10, 2.54mm (100mil)"
"R56","10k","TopLayer","RESC0603X03L_C","3.4504","26.8986","180","Resistor, ±1%, 0.05W"
"P6","Socket 1x8","TopLayer","SOCKET_1x8_SMD","77.4700","55.8800","180","Socket 1x8, 2.54mm (100mil), SMD"
"P12","Pin List 1x8","BottomLayer","LIST_1x8_SMD-NC","77.4700","55.8800","180","Pin List 1x8, 2.54mm (100mil), SMD"
"P17","Pin Header 2x8","TopLayer","HDR_2x8-NC","77.4700","60.9600","180","Pin Header 2x8, 2.54mm (100mil)"
"P24","Socket 2x12","TopLayer","SOCKET_2x12_SMD-2.54mm","95.2500","39.3700","270","Socket 2x12, 2.54mm (100mil), SMD"
"P25","Pin Header 2x10, 1.27mm","TopLayer","HDR_2x10-SMD-1.27mm-NC","79.3750","36.1950","180","Pin Header 2x10, 1.27mm (50mil), SMD, Keying Shroud"
"R68","1M0","TopLayer","RESC0603X03L_C","14.3510","14.5542","360","Resistor, ±1%, 0.05W"
"U13","SC728CSTRT","TopLayer","BGA4C40P2X2_76X76X62","20.4978","15.9766","360","Semtech, 2A Low Vin, Very Low Ron, Load Switch, 4DSBGA"
"U17","SC728CSTRT","TopLayer","BGA4C40P2X2_76X76X62","20.4978","14.5669","360","Semtech, 2A Low Vin, Very Low Ron, Load Switch, 4DSBGA"
"U18","74LVC1G11","TopLayer","SOT65P210X100-6N","18.8214","10.4140","270","Single 3-input AND gate"
"U23","SC728CSTRT","TopLayer","BGA4C40P2X2_76X76X62","20.4978","13.1572","360","Semtech, 2A Low Vin, Very Low Ron, Load Switch, 4DSBGA"
"C65","100nF","TopLayer","CAPC0603X03L_C","27.5336","28.1940","360","Capacitor, X5R, ±10%"
"R69","1M0","TopLayer","RESC0603X03L_C","28.4480","16.6116","360","Resistor, ±1%, 0.05W"
"R70","N.C.","TopLayer","RESC0603X03L_C","32.5882","38.4556","90","Not mounted"
"SW9","JS203011JCQN","TopLayer","Switch-Slide-J-Lead-DP3T-13x3.5mm","23.7490","38.5064","360","Slide Switch DP3T 300mA 6V"
"U14","SC728CSTRT","TopLayer","BGA4C40P2X2_76X76X62","23.3172","17.8816","180","Semtech, 2A Low Vin, Very Low Ron, Load Switch, 4DSBGA"
"U12","SC728CSTRT","TopLayer","BGA4C40P2X2_76X76X62","25.5778","17.8816","180","Semtech, 2A Low Vin, Very Low Ron, Load Switch, 4DSBGA"
"C46","100nF","TopLayer","CAPC0603X03L_C","111.9200","19.6342","90","Capacitor, X5R, ±10%"
"C41","100nF","TopLayer","CAPC0603X03L_C","68.2837","16.8148","360","Capacitor, X5R, ±10%"
"C42","100nF","TopLayer","CAPC0603X03L_C","61.2394","16.8148","360","Capacitor, X5R, ±10%"
"C45","100nF","TopLayer","CAPC0603X03L_C","75.2771","16.7640","360","Capacitor, X5R, ±10%"
"C49","10nF","TopLayer","CAPC0603X03L_C","7.5438","36.8808","360","Capacitor, X7R, ±10%"
"C47","10nF","TopLayer","CAPC0603X03L_C","113.9628","56.1586","90","Capacitor, X7R, ±10%"
"C51","10µF","TopLayer","CAPC1608X06L","106.3352","52.2216","90","Capacitor, X5R, ±20%"
"C52","100nF","TopLayer","CAPC0603X03L_C","107.3258","51.9676","90","Capacitor, X5R, ±10%"
"C55","100nF","TopLayer","CAPC0603X03L_C","103.8541","60.1445","270","Capacitor, X5R, ±10%"
"D1","PRTR5V0U2X","TopLayer","SOT190P230X110-4L","109.5309","53.1602","180","Ultra low capacitance double rail-to-rail ESD protection diode"
"FB6","120R/0.55A","TopLayer","INDC1005X04L","3.6214","25.3170","360","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"FB4","120R/0.55A","TopLayer","INDC1005X04L","7.3660","28.8976","270","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"FB2","120R/0.55A","TopLayer","INDC1005X04L","7.2644","38.2016","90","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"FB1","120R/0.55A","TopLayer","INDC1005X04L","114.8518","56.1586","270","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"FB3","120R/0.55A","TopLayer","INDC1005X04L","105.3446","51.9422","270","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"FB5","120R/0.55A","TopLayer","INDC1005X04L","103.0159","60.1445","90","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"J3","MicroUSB-B","TopLayer","USB-Micro-B-RA-SMD-PiP","109.2289","58.6056","270","MicroUSB-B-SMT"
"J5","FPC 0.5mm RA SMD","TopLayer","FPC_05P-0.5mm-RA-SMD","102.5236","8.1782","0","0.5mm FPC, 5P,Right Angle SMT,Double Contact,H=1.2mm,White, Tin plated"
"P22","Pin List 1x2, Angled","TopLayer","LIST_ANG_1x2-SMD-2.54MM","9.7520","43.0000","270","Pin List 1x2, 2.54mm (100mil), Right Angled, SMD"
"Q5","PMCPB5530","TopLayer","PMCPB5530X","15.1130","38.7350","360","Mosfet Array N and P-Channel 20V 4A (Ta), 3.4A (Ta) 490mW Surface Mount 6-HUSON-EP (2x2)"
"R52","150k","TopLayer","RESC0603X03L_C","14.6304","36.9316","360","Resistor, ±1%, 0.05W"
"R51","1M0","TopLayer","RESC0603X03L_C","17.1196","38.6842","90","Resistor, ±1%, 0.05W"
"R43","0R","TopLayer","RESC0603X03L_C","102.0223","18.8482","90","Resistor, ±5%, 0.05W"
"R46","0R","TopLayer","RESC0603X03L_C","103.0317","18.8482","90","Resistor, ±5%, 0.05W"
"R42","N.C.","TopLayer","RESC0603X03L_C","101.1936","19.1262","360","Not mounted"
"R45","N.C.","TopLayer","RESC0603X03L_C","103.8606","19.1262","180","Not mounted"
"R47","100k","TopLayer","RESC0603X03L_C","77.3938","9.9314","90","Resistor, ±1%, 0.05W"
"R2","220R","TopLayer","RESC0603X03L_C","126.8435","57.0161","360","Resistor, ±1%, 0.05W"
"R3","220R","TopLayer","RESC0603X03L_C","131.9235","57.0161","360","Resistor, ±1%, 0.05W"
"R4","220R","TopLayer","RESC0603X03L_C","126.8435","53.5617","360","Resistor, ±1%, 0.05W"
"R5","220R","TopLayer","RESC0603X03L_C","131.9235","53.5617","360","Resistor, ±1%, 0.05W"
"R55","10k","TopLayer","RESC0603X03L_C","104.5399","60.1445","270","Resistor, ±1%, 0.05W"
"R65","820k","TopLayer","RESC0603X03L_C","10.5378","13.3858","270","Resistor, ±1%, 0.05W"
"R66","470k","TopLayer","RESC0603X03L_C","10.0044","13.3858","90","Resistor, ±1%, 0.05W"
"SW5","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","73.6092","4.5016","180","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SW1","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","110.5808","13.8298","360","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SW2","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","120.8424","13.8298","360","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SW3","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","110.5808","4.5016","180","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
